Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,France,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",3
2000,France,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),10
2000,France,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),3
2000,France,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",2
2000,France,Power,Geothermal Energy,Geothermal Energy,2
2000,France,Power,Hydropower,Hydropower,10
2000,France,Power,Ocean Energy,Ocean Energy,4
2000,France,Power,Solar Energy,PV,6
2000,France,Power,Solar Energy,Solar Thermal,20
2000,France,Power,Wind Energy,Wind Energy,24
2000,France,Transport,Bioenergy,Biofuels,14
2000,France,Transport,Enabling Technologies,Electromobility - Charging Stations,25
2000,France,Transport,Enabling Technologies,Electromobility - Electric Energy Management,17
2000,France,Transport,Enabling Technologies,Electromobility - Energy Storage,29
2000,France,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,5
2000,France,Transport,Enabling Technologies,Electromobility - Machine related technology ,26
2000,France,Transport,Enabling Technologies,Energy Efficiency,28
2000,France,Transport,Enabling Technologies,Smart Grids,2
2000,France,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),8
2000,France,Waste,Solar Energy,PV - Thermal Hybrid,1
2000,Georgia,Building,Hydropower,Hydropower,1
2000,Georgia,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",1
2000,Georgia,Power,Hydropower,Hydropower,6
2000,Georgia,Power,Solar Energy,Solar Thermal,1
2000,Georgia,Power,Wind Energy,Wind Energy,2
2000,Germany,Building,Enabling Technologies,Energy Efficiency,91
2000,Germany,Building,Enabling Technologies,Fuel Cells,9
2000,Germany,Building,Enabling Technologies,Smart Grids,77
2000,Germany,Building,Geothermal Energy,Heat pumps,9
2000,Germany,Building,Hydropower,Hydropower,2
2000,Germany,Building,Solar Energy,PV,60
2000,Germany,Building,Solar Energy,PV - Thermal Hybrid,46
2000,Germany,Building,Solar Energy,Solar Thermal,124
2000,Germany,Building,Wind Energy,Wind Energy,24
2000,Germany,CCUS,Enabling Technologies,CCUS,49
2000,Germany,Industry,Bioenergy,Fuel from waste,4
2000,Germany,Industry,Enabling Technologies,CCUS,1
2000,Germany,Industry,Enabling Technologies,Cross-cutting,4
2000,Germany,Industry,Enabling Technologies,Energy Efficiency,12
2000,Germany,Industry,Enabling Technologies,Fuel Cells,1
2000,Germany,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),18
2000,Germany,Power,Bioenergy,Biofuels,56
2000,Germany,Power,Bioenergy,Fuel from waste,73
2000,Germany,Power,Enabling Technologies,Batteries,474
2000,Germany,Power,Enabling Technologies,Energy Storage - General,32
2000,Germany,Power,Enabling Technologies,Fuel Cells,618
2000,Germany,Power,Enabling Technologies,Others,3
2000,Germany,Power,Enabling Technologies,Thermal energy storage,87
2000,Germany,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",37
2000,Germany,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),74
2000,Germany,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),31
2000,Germany,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",21
2000,Germany,Power,Geothermal Energy,Geothermal Energy,13
2000,Germany,Power,Hydropower,Hydropower,68
